id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
24148,2022,ABRIL,MARTES,2022-04-05,3.0,Robo,Robo total,NO,NO,BARRACAS,4.0,-34.645352,-58.374799,1
858852,2022,FEBRERO,DOMINGO,2022-02-06,6.0,Vialidad,Lesiones por siniestros viales,NO,NO,MONSERRAT,1.0,-34.613232,-58.383224,1
80723,2022,MARZO,SABADO,2022-03-19,6.0,Robo,Robo total,NO,NO,RECOLETA,2.0,-34.595763,-58.388427,1
14545,2022,FEBRERO,VIERNES,2022-02-04,18.0,Robo,Robo total,SI,NO,NUÑEZ,13.0,-34.5508,-58.468422,1
90352,2022,DICIEMBRE,LUNES,2022-12-05,18.0,Robo,Robo total,SI,NO,RETIRO,1.0,-34.589397,-58.371309,1
64405,2022,DICIEMBRE,MIERCOLES,2022-12-28,13.0,Hurto,Hurto total,NO,NO,FLORES,7.0,-34.626368,-58.471575,1
57862,2022,FEBRERO,MARTES,2022-02-15,15.0,Robo,Robo total,SI,NO,SAAVEDRA,12.0,-34.553833,-58.482163,1
16360,2022,ABRIL,JUEVES,2022-04-28,17.0,Hurto,Hurto total,NO,NO,PATERNAL,15.0,-34.602842,-58.464946,1
10274,2022,NOVIEMBRE,DOMINGO,2022-11-13,0.0,Hurto,Hurto total,NO,NO,VILLA CRESPO,15.0,-34.59251,-58.433662,1
53102,2022,OCTUBRE,LUNES,2022-10-10,11.0,Hurto,Hurto total,NO,NO,PARQUE PATRICIOS,4.0,-34.635109,-58.405847,1
97950,2022,AGOSTO,VIERNES,2022-08-19,21.0,Robo,Robo total,NO,SI,BALVANERA,3.0,-34.603154,-58.392394,1
106290,2022,SEPTIEMBRE,SABADO,2022-09-03,19.0,Hurto,Hurto total,NO,NO,VILLA GRAL. MITRE,11.0,-34.606146,-58.473316,1
894290,2022,MARZO,SABADO,2022-03-19,13.0,Vialidad,Lesiones por siniestros viales,NO,NO,VILLA RIACHUELO,8.0,-34.687804,-58.473359,1
64961,2022,FEBRERO,LUNES,2022-02-14,7.0,Hurto,Hurto total,NO,NO,ALMAGRO,5.0,-34.60570347,-58.41355885,1
946649,2022,DICIEMBRE,MARTES,2022-12-20,5.0,Lesiones,Lesiones Dolosas,NO,NO,NUEVA POMPEYA,4.0,-34.639447,-58.411759,1
100276,2022,MARZO,JUEVES,2022-03-24,21.0,Hurto,Hurto automotor,NO,NO,CABALLITO,6.0,-34.627685,-58.432046,1
25800,2022,JUNIO,LUNES,2022-06-27,8.0,Robo,Robo total,NO,NO,CABALLITO,6.0,-34.618299,-58.43646,1
